customer_id,first_name,last_name,email,phone,gender,date_of_birth,registration_date,city,state,country,postal_code,loyalty_tier,preferred_channel
1,Danielle,Johnson,john21@example.net,00158189600133890,Male,1998-12-05,2022-03-03,South Bridget,MO,US,1352,Silver,Social Commerce
2,Katherine,Moore,jpeterson@example.org,,Non-binary,1987-12-01,2023-11-21,Curtisfurt,VA,US,13177,Bronze,Social Commerce
3,Michael,Cooper,lindsay78@example.org,51834959310341,Female,2005-06-28,2023-01-29,Ramirezstad,MI,US,21820,Bronze,Online
4,Mitchell,Clark,jacqueline19@example.net,7832276483,Female,1973-12-14,2022-05-27,Port Antonio,IL,US,41848,Silver,In-Store
5,Richard,Jones,jason76@example.net,7245238849696,Prefer not to say,1978-04-20,2023-10-07,New Trevor,PA,US,99562,Bronze,Mobile App
6,Brandon,Rodriguez,laurahenderson@example.org,66987848018451,Female,1962-05-30,2022-04-07,South Aaron,AZ,US,95147,Bronze,Social Commerce
7,Nancy,Baker,williamrodriguez@example.net,,Prefer not to say,1998-03-05,2023-11-28,Meaganhaven,CA,US,80319,Gold,Mobile App
8,James,Brooks,amberosborne@example.net,2955701543,Male,1995-07-19,2022-11-27,North Jessicaland,WI,US,70323,Bronze,
9,Katie,Anderson,karroyo@example.com,596338346578713,Female,2000-11-25,2024-09-22,Andrewside,PA,US,30662,Bronze,In-Store
10,Brianna,Smith,perezrebecca@example.com,9835473829,Male,1968-01-18,2024-02-04,Aguirreborough,GA,US,12864,Bronze,In-Store
12,Scott,Callahan,williamsyvette@example.org,4328677360,Prefer not to say,1958-10-30,2022-08-12,South Josephmouth,PA,US,37889,Gold,In-Store
13,Rodney,Bernard,smoore@example.org,4982050097,Female,1998-07-01,2023-04-30,Port Jacobland,WA,US,89002,Platinum,Online
14,Michelle,Powell,bethwilliams@example.org,799385435346247,Male,1999-11-11,2023-01-24,South Christineshire,NJ,US,13605,Silver,In-Store
15,Charles,Lewis,david51@example.org,4426784980841,Non-binary,2001-02-09,2022-06-17,North Juliaberg,NC,US,36198,Silver,In-Store
16,Juan,Clark,james48@example.com,8012640052427,Non-binary,1956-07-05,2022-07-24,North Sierraberg,PA,US,72012,Silver,In-Store
17,Barry,Wood,russellwilliams@example.com,4535315869,Female,1997-06-15,2023-09-06,Port Lisa,NC,US,54541,Gold,In-Store
18,Angel,Doyle,kimberly63@example.com,6165073375,Non-binary,1973-09-07,2022-04-15,North Donna,TX,US,52728,Bronze,Mobile App
19,Mark,Lin,michael86@example.net,13508142940,Non-binary,1963-05-17,2022-10-31,Jessicamouth,TX,US,57700,Gold,In-Store
20,Catherine,Dixon,mlam@example.com,7607883561,Prefer not to say,1963-11-13,2022-11-29,Lake Rachelhaven,CA,US,41039,Bronze,Social Commerce
21,Elizabeth,Nguyen,angela36@example.net,72999468044369,Prefer not to say,1959-09-13,2024-08-21,Ramosborough,VA,US,67501,Bronze,In-Store
22,Thomas,Santana,donnacampbell@example.net,139591343320037,Non-binary,1975-01-16,2023-11-10,Mercadoshire,IL,US,25986,Silver,Online
23,Jennifer,Cruz,psanchez@example.net,5163328708,Male,1995-11-19,2023-01-25,Andersonmouth,IN,US,88001,Gold,In-Store
24,Amanda,Hansen,stephanie79@example.net,968372774348734,Non-binary,1961-03-07,2023-09-26,Jimmymouth,MO,US,42405,Bronze,Social Commerce
25,Patricia,Miller,jessebenson@example.net,5168658760,Female,1950-01-14,2023-10-22,Steinshire,IN,US,91664,Bronze,In-Store
26,Andrew,Gilmore,wwoods@example.com,001766888937346706,Prefer not to say,1971-01-27,2023-02-12,Port Tanner,WI,US,17229,Bronze,Social Commerce
27,Tina,Ferguson,qvargas@example.org,5629720465,Prefer not to say,1963-03-29,2022-08-07,Matthewfurt,TX,US,36972,Bronze,Online
28,Karen,Decker,mary70@example.net,12054310033,Prefer not to say,1989-09-15,2024-10-30,East Thomas,IL,US,15494,Gold,Mobile App
29,Anne,Robinson,katie29@example.net,00151234190496631,Male,1971-06-19,2023-08-09,Melissaville,PA,US,74678,Bronze,In-Store
30,Kimberly,Reed,estanley@example.net,165096716572628,Prefer not to say,1968-07-22,2022-02-10,Grahamshire,TN,US,35680,Bronze,Social Commerce
31,Marcus,Sanchez,ramirezshannon@example.com,0015967507527,Non-binary,2004-02-14,2023-07-13,Matthewview,WA,US,73349,Silver,In-Store
32,Alejandro,Vaughan,allenrichard@example.net,001937777014363495,Non-binary,1957-07-13,2024-08-03,Barajasside,OH,US,43858,Bronze,Social Commerce
33,Michael,Chavez,john13@example.com,6823337498,Male,1998-05-24,2023-04-05,West Jeremy,CA,US,24020,Platinum,Online
34,Kevin,Erickson,joshuamccann@example.net,62791094777520,Male,1991-09-21,2022-12-10,Port Cameronfort,IL,US,10211,Gold,Online
35,Barbara,Parks,edwardhart@example.com,8319869993,Male,1967-10-17,2023-05-13,Evansshire,MD,US,56708,Silver,Social Commerce
36,Kevin,Oliver,mezajared@example.org,,Non-binary,1993-12-23,2024-07-30,Donnaburgh,WI,US,31940,Platinum,Social Commerce
37,Glenn,Jones,ortizhannah@example.com,50344471349361,Non-binary,1957-10-10,2024-08-09,Margaretland,CA,US,8317,Silver,Social Commerce
38,Gabriel,Parker,scott74@example.net,24838771906594,Prefer not to say,1974-10-14,2023-01-27,Lake Mary,MO,US,75893,Silver,Social Commerce
40,Mark,Steele,elaine68@example.org,2155451680876,Non-binary,1966-08-11,2023-07-21,Cindyfort,NY,US,82474,Gold,Mobile App
42,Stacey,Holland,tyronemoran@example.net,0014463773782639,Non-binary,1955-11-12,2022-04-20,Kendrachester,FL,US,45049,Bronze,Social Commerce
43,Sarah,Romero,campbellkenneth@example.net,0018729787558,Male,1989-09-20,2024-05-28,Mollybury,OH,US,75447,Silver,Online
44,Patrick,Chase,vwilliams@example.com,,Prefer not to say,2003-04-11,2023-08-14,Hughesberg,FL,US,65424,Bronze,In-Store
45,Tammie,Martinez,molly71@example.net,7028621745961,Non-binary,1956-05-28,2023-08-15,Courtneyfort,WA,US,71413,Gold,Social Commerce
46,Barry,Jones,wendy16@example.org,001517824005045562,Non-binary,1952-04-27,2022-02-12,East Gregory,MD,US,80388,Platinum,Social Commerce
47,Monica,Harvey,tyleraguilar@example.org,6478407482175,Non-binary,1958-03-09,2023-10-20,Stephenport,AZ,US,26612,Silver,Social Commerce
48,Yvonne,Castaneda,youngashley@example.net,74056409097439,Prefer not to say,1986-04-06,2022-01-03,New John,TX,US,99536,Gold,Social Commerce
49,Jennifer,Hopkins,courtneyberger@example.net,7478095214,Female,1989-04-22,2022-03-01,East David,IL,US,71202,Silver,
50,Nancy,Diaz,maria47@example.com,00165137123685160,Prefer not to say,1963-10-25,2024-11-08,Richardsonview,TN,US,77120,Gold,Social Commerce
51,Parker,Little,daniel37@example.org,12856931746120,Non-binary,1987-03-24,2023-07-02,Wilsonbury,MD,US,70958,Gold,In-Store
52,Derek,Chavez,umatthews@example.org,717796405377351,Prefer not to say,1978-11-14,2023-05-05,South Joshuaville,TX,US,60101,Platinum,Social Commerce
53,Christopher,Lewis,williamsmatthew@example.org,0014312839335,Prefer not to say,1953-04-28,2023-11-11,Micheleberg,NY,US,17539,Platinum,In-Store
54,Amber,Lindsey,guerreroanthony@example.org,3399502402681,Prefer not to say,1980-05-16,2022-06-14,Stricklandhaven,NJ,US,78313,Bronze,Social Commerce
55,Daniel,Gordon,acostaregina@example.net,447300766177115,Male,1970-05-30,2022-07-21,West Claudia,MA,US,77225,Silver,Online
56,Amy,Nguyen,shawn96@example.org,0013187367365766,Female,1966-02-26,2024-02-23,Edwardsview,GA,US,49561,Bronze,Mobile App
57,Stephanie,Mcdaniel,fjones@example.org,215628098851656,Non-binary,1956-08-17,2023-09-05,Michaelshire,MA,US,67008,Bronze,Social Commerce
58,Jason,Douglas,melaniebell@example.net,6142936899809,Male,1976-06-27,2024-03-21,West Jacqueline,WI,US,41000,Gold,Mobile App
59,Sandra,Bell,mollyknight@example.com,7204183667,Male,1972-06-26,2022-10-08,Larrymouth,MI,US,74896,Gold,
60,Caitlyn,Ware,ericwilliamson@example.net,5473679764,Female,1968-01-06,2024-01-20,Russellport,NC,US,89396,Silver,Mobile App
61,Erika,Tucker,brandon69@example.org,2349324451,Non-binary,1970-03-29,2024-03-24,Thompsonfurt,FL,US,70307,Gold,
62,Jane,Mason,charles06@example.org,7154969664160,Non-binary,1983-04-30,2022-02-21,Collierstad,WI,US,12052,Bronze,Social Commerce
63,Samuel,Rodriguez,hchapman@example.org,74543521818835,Prefer not to say,1977-04-22,2023-04-26,North Dwayne,VA,US,26357,Bronze,Social Commerce
64,Glenn,Hernandez,thompsonkendra@example.com,9996799552717,Prefer not to say,2005-03-26,2022-03-09,Brittanystad,GA,US,66998,Platinum,Mobile App
65,Charles,Murray,brownmarie@example.org,171999867980793,Male,1960-12-16,2022-07-07,North Shannon,TX,US,45516,Gold,In-Store
66,Toni,Miller,benjaminzimmerman@example.com,789325546659051,Female,1970-11-26,2022-01-06,Mitchellberg,MO,US,44195,Bronze,Online
67,Christopher,Alvarado,kyle62@example.net,0012147865281685,Prefer not to say,,2024-05-12,Henryborough,MA,US,45292,Bronze,Online
68,Stacey,Tucker,zoemoore@example.com,8884805929,Prefer not to say,1996-10-12,2022-03-05,East Marie,AZ,US,82386,Silver,Social Commerce
