customer_id,customer_name,loyalty_tier,state,total_orders,lifetime_value,avg_order_value,first_order_date,last_order_date,customer_tenure_days,clv_segment
5215,David Colon,Bronze,MD,11,1392277.72,39779.36,2022-10-04,2024-12-07,795.0,VIP
473,Samuel Garcia,Silver,MI,7,1377774.2,47509.46,2022-04-03,2024-06-29,818.0,VIP
5169,Christopher Moore,Bronze,FL,10,1332370.02,42979.68,2022-11-05,2024-11-19,745.0,VIP
9965,Melissa Oliver,Silver,TX,11,1292293.71,34007.73,2022-01-21,2024-07-03,894.0,VIP
6324,Maria Snyder,Gold,CA,7,1265873.27,42195.78,2022-08-31,2024-11-11,803.0,VIP
5549,Christopher Hicks,Silver,IN,8,1227533.51,43840.48,2022-05-18,2024-12-02,929.0,VIP
1755,Paula Hurst,Silver,MD,10,1215194.44,28260.34,2022-03-16,2024-09-28,927.0,VIP
4215,Brianna Bryan,Bronze,TX,11,1214744.16,34706.98,2022-02-27,2024-11-23,1000.0,VIP
2031,Sandra Elliott,Gold,AZ,9,1211085.94,37846.44,2022-10-28,2024-09-04,677.0,VIP
6302,Samantha Hardy,Platinum,NJ,8,1206084.68,40202.82,2022-07-01,2024-09-15,807.0,VIP
9527,Daniel Bush,Silver,GA,7,1199882.67,70581.33,2022-04-12,2024-10-01,903.0,VIP
893,Daniel Livingston,Silver,PA,9,1199835.8,44438.36,2022-06-29,2024-09-24,818.0,VIP
5441,Jason Finley,Bronze,NC,9,1199314.84,37478.59,2022-03-08,2024-12-05,1003.0,VIP
3025,Christian Lambert,Gold,NY,6,1197351.18,59867.56,2022-06-05,2024-09-05,823.0,VIP
9390,Katherine Dominguez,Bronze,PA,7,1196986.48,85499.03,2022-05-04,2024-07-12,800.0,VIP
2584,Tamara Williams,Bronze,AZ,4,1140468.57,81462.04,2022-02-06,2023-05-04,452.0,VIP
3197,Tommy Wilcox,Gold,MI,6,1104503.38,78893.1,2022-12-31,2024-11-16,686.0,VIP
4114,Rodney Foster,Bronze,NC,13,1057818.28,22996.05,2022-03-31,2024-07-08,830.0,VIP
6113,Amanda Brooks,Silver,NC,6,1023977.37,31999.29,2022-01-28,2024-04-22,815.0,VIP
5462,Carlos Delgado,Gold,NJ,10,1021274.84,26875.65,2022-01-16,2024-01-06,720.0,VIP
8508,Jeanette Bailey,Silver,OH,5,1019798.34,92708.94,2023-04-18,2024-10-19,550.0,VIP
