customer_id,customer_name,loyalty_tier,state,last_order_date,total_orders,days_since_last_order,churn_status
2759,Rebecca Bender,Gold,TX,2022-01-04,1,1092.0,Churned
7461,Lynn Wright,Bronze,CA,2022-01-07,1,1089.0,Churned
8791,Kevin Long,Bronze,TX,2022-01-07,1,1089.0,Churned
3039,Laura Baker,Bronze,CA,2022-01-10,2,1086.0,Churned
700,David Ford,Silver,VA,2022-03-05,2,1032.0,Churned
3862,Douglas Donovan,Bronze,MA,2022-03-15,2,1022.0,Churned
5292,Gary Morris,Bronze,OH,2022-03-26,1,1011.0,Churned
866,Brian Velasquez,Gold,NJ,2022-04-12,3,994.0,Churned
2656,Jason Lucas,Bronze,NC,2022-04-12,1,994.0,Churned
4009,Michael Murray,Platinum,PA,2022-04-23,1,983.0,Churned
1241,Meredith Hicks,Bronze,CA,2022-06-07,1,938.0,Churned
2311,Gary Keller,Bronze,TX,2022-06-08,4,937.0,Churned
1034,Melissa Long,Gold,MI,2022-06-10,2,935.0,Churned
2096,Jordan Peters,Silver,TN,2022-06-10,2,935.0,Churned
3750,Anna Robinson,Bronze,FL,2022-06-13,1,932.0,Churned
2012,Sarah Rodriguez,Bronze,FL,2022-06-16,1,929.0,Churned
6965,Kendra Anderson,Platinum,NJ,2022-06-16,3,929.0,Churned
8021,Joseph Ortiz,Bronze,MI,2022-06-22,2,923.0,Churned
6471,Lauren Moon,Bronze,MI,2022-06-24,2,921.0,Churned
1042,Teresa Flores,Bronze,WA,2022-06-27,1,918.0,Churned
7101,Scott Stephenson,Silver,WA,2022-07-03,2,912.0,Churned
5381,Anthony Nolan,Gold,CA,2022-07-10,1,905.0,Churned
2198,Candice Robertson,Silver,AZ,2022-07-30,2,885.0,Churned
2220,Calvin Lowe,Silver,MO,2022-07-30,3,885.0,Churned
9374,Ashley Steele,Bronze,GA,2022-07-31,2,884.0,Churned
6147,Kevin Martin,Silver,WA,2022-08-01,3,883.0,Churned
6391,Christian Wallace,Platinum,AZ,2022-08-03,2,881.0,Churned
1992,Margaret Davis,Bronze,IL,2022-08-25,7,859.0,Churned
